Incident energy,sigma
83.20969,5.359149E-9
83.22252,5.370844E-9
83.23535,5.382538E-9
83.24818,5.394233E-9
83.26101,5.405927E-9
83.27384,5.417622E-9
83.28667,5.429316E-9
83.2995,5.441011E-9
83.32516,5.4644E-9
83.35082,5.487789E-9
83.37648,5.511177E-9
83.42291,5.553498E-9
83.44613,5.574663E-9
83.46934,5.595819E-9
83.4981,5.622034E-9
83.52105,5.642952E-9
83.54399,5.663862E-9
83.54908,5.668502E-9
83.5618,5.680096E-9
83.57452,5.69169E-9
83.59866,5.713694E-9
83.62279,5.735688E-9
83.66598,5.775055E-9
83.72644,5.830165E-9
83.75667,5.857719E-9
83.7869,5.885274E-9
83.81313,5.909182E-9
83.83935,5.933081E-9
83.86558,5.95699E-9
83.8918,5.980889E-9
83.92662,6.012628E-9
83.96143,6.044357E-9
84.03105,6.107815E-9
84.10068,6.171283E-9
84.13549,6.203012E-9
84.1703,6.234741E-9
84.23044,6.289558E-9
84.29058,6.344375E-9
84.35072,6.399193E-9
84.41085,6.454001E-9
84.48199,6.518845E-9
84.55313,6.583687E-9
84.56427,6.593841E-9
84.5949,6.621757E-9
84.62552,6.649661E-9
84.65539,6.676877E-9
84.68526,6.704082E-9
84.71513,6.731272E-9
84.745,6.758435E-9
84.76673,6.778172E-9
84.85165,6.854943E-9
84.92583,6.921171E-9
84.96292,6.953847E-9
85.0,6.986169E-9
85.05175,7.030684E-9
85.1035,7.074555E-9
85.207,7.160891E-9
85.301,7.238478E-9
85.348,7.277168E-9
85.395,7.315836E-9
85.489,7.39315E-9
85.583,7.470458E-9
85.65688,7.531219E-9
85.73075,7.591971E-9
85.85758,7.696279E-9
85.92099,7.748429E-9
85.9844,7.800579E-9
86.01611,7.826658E-9
86.04782,7.852737E-9
86.07953,7.878816E-9
86.11123,7.904887E-9
86.14294,7.930966E-9
86.17464,7.957037E-9
86.20635,7.983116E-9
86.23805,8.009187E-9
86.28573,8.0484E-9
86.32745,8.082712E-9
86.34831,8.099867E-9
86.36916,8.117015E-9
86.39002,8.134171E-9
86.41088,8.151326E-9
86.43174,8.168482E-9
86.45259,8.18563E-9
86.47643,8.205236E-9
86.50027,8.224843E-9
86.52411,8.244449E-9
86.54794,8.264048E-9
86.57178,8.283654E-9
86.59562,8.303261E-9
86.61946,8.322867E-9
86.64329,8.342466E-9
86.68886,8.379944E-9
86.71165,8.398687E-9
86.73443,8.417421E-9
86.76387,8.441634E-9
